author_id,paper_id,year_citation
26,181959,1995
26,184743,1997
26,188683,1982
26,188683,1984
26,188683,1998
26,188785,1998
26,188822,1990
26,188828,1984
26,188835,1984
26,190360,1984
26,190360,1985
26,190365,1984
26,192119,1984
26,192119,1985
26,192124,1989
26,192137,1989
26,192137,1991
26,192233,1995
26,194804,1984
26,198238,1996
26,198238,1998
26,199713,1984
26,199713,1989
26,199713,1996
26,199771,1998
26,199771,2000
26,199785,1993
26,199801,1989
26,199801,1990
26,199801,1994
26,199806,1984
26,200247,2005
26,205765,1984
26,205983,1981
26,206365,1976
26,206392,1999
26,206414,1992
26,206429,1981
26,206430,1993
26,206430,1997
26,209836,1984
26,209836,1988
26,209836,1989
26,209836,1989
26,209836,1990
26,209836,1990
26,209836,1990
26,209836,1990
26,209836,1992
26,209836,1993
26,209836,1994
26,209836,1995
26,209836,1996
26,209836,1998
26,209853,2000
26,209867,2000
26,209873,1996
26,209873,1998
26,209884,1997
26,209884,1998
26,209887,1992
26,209887,1995
26,209889,1993
26,209894,1992
26,209895,1990
26,209895,1992
26,209895,1992
26,209895,1993
26,209898,1993
26,209902,1993
26,209903,1994
26,209904,1992
26,209905,1993
26,209908,1993
26,209913,1997
26,209913,1998
26,209914,1992
26,209915,1993
26,210079,1992
26,212779,1993
26,212983,1996
26,212983,1998
26,213738,1995
26,217677,1986
26,217760,1990
26,217760,1992
26,220201,2000
26,222078,1989
26,222078,1992
26,222718,1977
26,222718,1979
26,222718,1982
26,222718,1984
26,222800,1984
26,222802,1984
26,222806,1984
26,222807,1979
26,222807,1984
26,223758,1995
26,223758,1997
26,223759,1984
26,223759,1986
26,223760,1984
26,223760,1985
26,226135,1984
26,227403,2005
26,231478,2003
26,232641,2001
26,232675,1984
26,233251,1989
26,233251,1991
26,233251,1993
26,233251,1997
26,233300,1989
26,233300,1993
26,233300,1997
26,233313,1993
26,233313,1993
26,233313,1997
26,236545,1982
26,236545,1984
26,236563,1984
26,236566,1984
26,237532,1995
26,237727,1993
26,239433,1998
26,239446,1997
26,241127,1990
26,243064,1996
26,243108,1992
26,243108,1998
26,244191,2005
26,244893,2000
26,247885,2001
26,247888,2001
26,248233,2001
26,248233,2003
26,248243,2001
26,248540,2000
26,248566,1984
26,248566,1992
26,248566,1993
26,248608,1993
26,252811,1996
26,252818,1996
26,252818,1998
26,252818,2000
26,253227,1998
26,253227,2000
26,253718,1998
26,253718,1998
26,253718,2000
26,253736,1997
26,253741,1997
26,253741,2000
26,253853,1984
26,256263,2004
26,256546,1999
26,256570,1995
26,256652,1984
26,258148,2005
26,262597,1984
26,263801,1998
26,263843,1995
26,265817,1992
26,268047,1989
26,268047,1992
26,268047,1995
26,268058,1995
26,268059,1992
26,269592,1989
26,269592,1993
26,269592,1995
26,269592,1997
26,269593,1986
26,270195,1987
26,270195,1989
26,270226,1984
26,270265,1984
26,274379,1984
26,275622,1992
26,275622,1995
26,275666,1997
26,275666,1999
26,275686,1992
26,275686,1995
26,275692,1992
26,275692,1995
26,279223,1984
26,279268,1984
26,279677,1995
26,279681,1981
26,279681,1983
26,280369,1984
26,280385,1995
26,280390,1984
26,280390,1993
26,280390,1994
26,282146,2001
26,283410,1989
26,286618,1992
26,286618,1995
26,288024,1984
26,288024,1995
26,288055,1989
26,288055,1991
26,288055,1992
26,288055,1993
26,288055,1995
26,288055,1997
26,288084,1989
26,288084,1991
26,288084,1993
26,288084,1997
26,288847,2001
26,290752,1978
26,290752,1981
26,290766,1981
26,290766,1984
26,290766,1985
26,293162,1987
26,293162,1989
26,293162,1990
26,293970,1999
